number,opened_at,resolved_at,closed_at,category,subcategory,priority,assignment_group,incident_state,reassignment_count,reopen_count,final_end_time,Resolution_Time_Hours
INC0000086,2016-02-29 08:43:00,2016-03-01 15:45:00,2016-03-06 16:00:00,Category 24,Subcategory 164,3 - Moderate,Group 23,Closed,1,0,2016-03-01 15:45:00,31.033333333333335
INC0000087,2016-02-29 08:47:00,2016-03-02 14:46:00,2016-03-07 15:00:00,Category 53,Subcategory 194,3 - Moderate,Group 54,Closed,0,0,2016-03-02 14:46:00,53.983333333333334
INC0000088,2016-02-29 08:48:00,2016-02-29 09:05:00,2016-03-05 10:00:00,Category 42,Subcategory 224,3 - Moderate,Group 70,Closed,0,0,2016-02-29 09:05:00,0.2833333333333333
INC0000089,2016-02-29 08:51:00,2016-03-03 14:35:00,2016-03-08 15:00:00,Category 45,Subcategory 94,4 - Low,Group 33,Closed,3,0,2016-03-03 14:35:00,77.73333333333333
INC0000092,2016-02-29 08:55:00,2016-03-07 08:45:00,2016-03-12 09:00:00,Category 53,Subcategory 271,3 - Moderate,Group 72,Closed,1,0,2016-03-07 08:45:00,167.83333333333334
INC0000093,2016-02-29 08:56:00,,2016-03-05 10:00:00,Category 61,Subcategory 164,3 - Moderate,Group 70,Closed,0,0,2016-03-05 10:00:00,121.06666666666666
INC0000094,2016-02-29 08:58:00,2016-03-10 10:45:00,2016-03-24 18:50:00,Category 45,Subcategory 220,4 - Low,Group 66,Closed,0,0,2016-03-10 10:45:00,241.78333333333333
INC0000098,2016-02-29 09:02:00,2016-03-02 14:51:00,2016-03-07 15:00:00,Category 53,Subcategory 194,3 - Moderate,Group 54,Closed,1,0,2016-03-02 14:51:00,53.81666666666667
INC0000099,2016-02-29 09:03:00,2016-03-01 09:05:00,2016-03-06 10:00:00,Category 24,Subcategory 164,3 - Moderate,Group 30,Closed,1,0,2016-03-01 09:05:00,24.033333333333335
INC0000100,2016-02-29 09:05:00,2016-03-02 14:53:00,2016-03-07 15:00:00,Category 53,Subcategory 271,3 - Moderate,Group 54,Closed,0,0,2016-03-02 14:53:00,53.8
INC0000101,2016-02-29 09:05:00,2016-02-29 11:00:00,2016-03-05 12:00:00,Category 55,Subcategory 170,4 - Low,Group 65,Closed,0,0,2016-02-29 11:00:00,1.9166666666666667
INC0000102,2016-02-29 09:06:00,2016-03-17 16:28:00,2016-03-24 18:59:00,Category 37,Subcategory 135,3 - Moderate,Group 23,Closed,4,1,2016-03-17 16:28:00,415.3666666666667
INC0000103,2016-02-29 09:07:00,2016-03-02 14:54:00,2016-03-07 15:00:00,Category 53,Subcategory 194,3 - Moderate,Group 54,Closed,0,0,2016-03-02 14:54:00,53.78333333333333
INC0000104,2016-02-29 09:08:00,2016-03-01 11:55:00,2016-03-06 12:00:00,Category 53,Subcategory 168,2 - High,Group 30,Closed,1,0,2016-03-01 11:55:00,26.783333333333335
INC0000105,2016-02-29 09:10:00,2016-02-29 11:58:00,2016-03-05 12:00:00,Category 45,Subcategory 223,3 - Moderate,Group 55,Closed,1,0,2016-02-29 11:58:00,2.8
INC0000110,2016-02-29 09:13:00,2016-03-02 14:55:00,2016-03-07 15:00:00,Category 53,Subcategory 271,3 - Moderate,Group 54,Closed,0,0,2016-03-02 14:55:00,53.7
INC0000111,2016-02-29 09:14:00,2016-03-02 14:56:00,2016-03-07 15:00:00,Category 53,Subcategory 130,3 - Moderate,Group 54,Closed,0,0,2016-03-02 14:56:00,53.7
INC0000112,2016-02-29 09:15:00,2016-03-02 15:13:00,2016-03-07 16:00:00,Category 37,Subcategory 135,3 - Moderate,Group 23,Closed,2,0,2016-03-02 15:13:00,53.96666666666667
INC0000113,2016-02-29 09:18:00,2016-03-02 19:30:00,2016-03-07 20:00:00,Category 55,Subcategory 23,3 - Moderate,Group 25,Closed,0,0,2016-03-02 19:30:00,58.2
INC0000114,2016-02-29 09:18:00,2016-03-03 01:18:00,2016-03-08 02:00:00,Category 53,Subcategory 194,3 - Moderate,Group 70,Closed,1,0,2016-03-03 01:18:00,64.0
INC0000115,2016-02-29 09:20:00,2016-03-01 08:50:00,2016-03-06 09:00:00,Category 9,Subcategory 164,3 - Moderate,Group 24,Closed,2,0,2016-03-01 08:50:00,23.5
INC0000116,2016-02-29 09:20:00,2016-03-01 12:02:00,2016-03-06 13:00:00,Category 37,Subcategory 135,3 - Moderate,Group 47,Closed,1,0,2016-03-01 12:02:00,26.7
INC0000119,2016-02-29 09:22:00,2016-03-01 09:03:00,2016-03-06 10:00:00,Category 9,Subcategory 164,3 - Moderate,Group 24,Closed,0,0,2016-03-01 09:03:00,23.683333333333334
INC0000121,2016-02-29 09:25:00,2016-02-29 16:31:00,2016-03-05 17:00:00,Category 53,Subcategory 271,3 - Moderate,Group 23,Closed,0,0,2016-02-29 16:31:00,7.1
INC0000122,2016-02-29 09:27:00,2016-03-01 16:50:00,2016-03-06 17:00:00,Category 45,Subcategory 107,3 - Moderate,Group 22,Closed,1,0,2016-03-01 16:50:00,31.383333333333333
INC0000123,2016-02-29 09:29:00,2016-03-02 14:56:00,2016-03-07 15:00:00,Category 53,Subcategory 194,3 - Moderate,Group 54,Closed,0,0,2016-03-02 14:56:00,53.45
INC0000124,2016-02-29 09:30:00,2016-02-29 11:05:00,2016-03-05 12:00:00,Category 53,Subcategory 271,3 - Moderate,Group 33,Closed,0,0,2016-02-29 11:05:00,1.5833333333333333
INC0000125,2016-02-29 09:31:00,2016-03-01 08:32:00,2016-03-06 09:00:00,Category 9,Subcategory 164,3 - Moderate,Group 27,Closed,1,0,2016-03-01 08:32:00,23.016666666666666
INC0000126,2016-02-29 09:31:00,2016-03-02 14:57:00,2016-03-07 15:00:00,Category 53,Subcategory 127,3 - Moderate,Group 54,Closed,0,0,2016-03-02 14:57:00,53.43333333333333
INC0000128,2016-02-29 09:36:00,2016-03-11 12:15:00,2016-03-24 18:50:00,Category 44,Subcategory 54,3 - Moderate,Group 39,Closed,2,0,2016-03-11 12:15:00,266.65
INC0000129,2016-02-29 09:40:00,2016-03-22 13:30:00,2016-03-27 13:59:00,Category 23,Subcategory 75,3 - Moderate,Group 24,Closed,2,0,2016-03-22 13:30:00,531.8333333333334
INC0000130,2016-02-29 09:41:00,2016-03-03 10:16:00,2016-03-08 11:00:00,Category 61,Subcategory 164,3 - Moderate,Group 73,Closed,1,0,2016-03-03 10:16:00,72.58333333333333
INC0000131,2016-02-29 09:41:00,2016-03-03 09:27:00,2016-03-08 10:00:00,Category 45,Subcategory 220,3 - Moderate,Group 66,Closed,0,0,2016-03-03 09:27:00,71.76666666666667
INC0000132,2016-02-29 09:42:00,2016-03-03 15:18:00,2016-03-08 16:00:00,Category 9,Subcategory 164,3 - Moderate,Group 23,Closed,2,0,2016-03-03 15:18:00,77.6
INC0000134,2016-02-29 09:44:00,2016-03-03 08:21:00,2016-03-08 09:00:00,Category 62,Subcategory 192,4 - Low,Group 73,Closed,1,0,2016-03-03 08:21:00,70.61666666666666
INC0000135,2016-02-29 09:45:00,2016-02-29 16:17:00,2016-03-05 17:00:00,Category 53,Subcategory 271,3 - Moderate,Group 70,Closed,0,0,2016-02-29 16:17:00,6.533333333333333
INC0000137,2016-02-29 09:48:00,2016-02-29 11:03:00,2016-03-05 12:00:00,Category 32,Subcategory 9,3 - Moderate,Group 70,Closed,0,0,2016-02-29 11:03:00,1.25
INC0000139,2016-02-29 09:50:00,2016-03-01 09:56:00,2016-03-06 10:00:00,Category 53,Subcategory 303,3 - Moderate,Group 54,Closed,1,0,2016-03-01 09:56:00,24.1
INC0000140,2016-02-29 09:51:00,2016-03-03 11:59:00,2016-03-08 12:00:00,Category 9,Subcategory 164,3 - Moderate,Group 25,Closed,1,0,2016-03-03 11:59:00,74.13333333333334
INC0000141,2016-02-29 09:52:00,2016-03-02 14:58:00,2016-03-07 15:00:00,Category 53,Subcategory 271,3 - Moderate,Group 54,Closed,0,0,2016-03-02 14:58:00,53.1
INC0000146,2016-02-29 09:57:00,2016-03-02 14:59:00,2016-03-07 15:00:00,Category 53,Subcategory 194,3 - Moderate,Group 54,Closed,0,0,2016-03-02 14:59:00,53.03333333333333
INC0000147,2016-02-29 10:00:00,2016-03-14 09:49:00,2016-03-19 10:00:00,Category 53,Subcategory 271,3 - Moderate,Group 25,Closed,1,0,2016-03-14 09:49:00,335.81666666666666
INC0000148,2016-02-29 10:00:00,2016-03-02 15:00:00,2016-03-07 16:00:00,Category 53,Subcategory 127,3 - Moderate,Group 54,Closed,0,0,2016-03-02 15:00:00,53.0
INC0000149,2016-02-29 10:01:00,2016-03-02 15:01:00,2016-03-07 16:00:00,Category 53,Subcategory 127,3 - Moderate,Group 54,Closed,0,0,2016-03-02 15:01:00,53.0
INC0000152,2016-02-29 10:08:00,2016-03-03 09:23:00,2016-03-08 10:00:00,Category 53,Subcategory 168,3 - Moderate,Group 30,Closed,0,0,2016-03-03 09:23:00,71.25
INC0000153,2016-02-29 10:10:00,2016-03-02 14:55:00,2016-03-07 15:00:00,Category 53,Subcategory 194,3 - Moderate,Group 54,Closed,0,0,2016-03-02 14:55:00,52.75
INC0000155,2016-02-29 10:12:00,2016-03-02 15:02:00,2016-03-07 16:00:00,Category 53,Subcategory 194,3 - Moderate,Group 54,Closed,0,0,2016-03-02 15:02:00,52.833333333333336
INC0000156,2016-02-29 10:14:00,2016-03-02 15:02:00,2016-03-07 16:00:00,Category 53,Subcategory 127,3 - Moderate,Group 54,Closed,0,0,2016-03-02 15:02:00,52.8
INC0000158,2016-02-29 10:17:00,2016-03-02 15:06:00,2016-03-07 16:00:00,Category 53,Subcategory 127,3 - Moderate,Group 54,Closed,0,0,2016-03-02 15:06:00,52.81666666666667
INC0000159,2016-02-29 10:17:00,2016-03-02 10:09:00,2016-03-07 11:00:00,Category 24,Subcategory 164,3 - Moderate,Group 28,Closed,1,0,2016-03-02 10:09:00,47.86666666666667
INC0000160,2016-02-29 10:18:00,,2016-03-05 11:00:00,Category 53,Subcategory 271,3 - Moderate,Group 70,Closed,0,0,2016-03-05 11:00:00,120.7
INC0000161,2016-02-29 10:18:00,2016-03-08 09:22:00,2016-03-24 18:40:00,Category 37,Subcategory 135,4 - Low,Group 29,Closed,2,0,2016-03-08 09:22:00,191.06666666666666
INC0000164,2016-02-29 10:18:00,2016-03-03 14:34:00,2016-03-08 15:00:00,Category 53,Subcategory 114,3 - Moderate,Group 70,Closed,2,0,2016-03-03 14:34:00,76.26666666666667
INC0000166,2016-02-29 10:24:00,2016-02-29 16:24:00,2016-03-05 17:00:00,Category 9,Subcategory 164,3 - Moderate,Group 27,Closed,0,0,2016-02-29 16:24:00,6.0
INC0000167,2016-02-29 10:27:00,2016-02-29 11:02:00,2016-03-05 12:00:00,Category 20,Subcategory 125,3 - Moderate,Group 70,Closed,0,0,2016-02-29 11:02:00,0.5833333333333334
INC0000168,2016-02-29 10:27:00,2016-03-01 09:05:00,2016-03-06 10:00:00,Category 9,Subcategory 164,3 - Moderate,Group 24,Closed,0,0,2016-03-01 09:05:00,22.633333333333333
INC0000169,2016-02-29 10:30:00,2016-03-02 15:06:00,2016-03-07 16:00:00,Category 53,Subcategory 127,3 - Moderate,Group 54,Closed,0,0,2016-03-02 15:06:00,52.6
INC0000171,2016-02-29 10:33:00,2016-03-18 13:44:00,2016-03-24 18:59:00,Category 24,Subcategory 164,2 - High,Group 70,Closed,4,0,2016-03-18 13:44:00,435.18333333333334
INC0000172,2016-02-29 10:36:00,2016-02-29 18:24:00,2016-03-05 19:00:00,Category 23,Subcategory 75,3 - Moderate,Group 20,Closed,1,0,2016-02-29 18:24:00,7.8
INC0000173,2016-02-29 10:36:00,2016-04-11 14:49:00,2016-04-16 15:07:00,Category 55,Subcategory 120,4 - Low,Group 65,Closed,1,0,2016-04-11 14:49:00,1012.2166666666667
INC0000174,2016-02-29 10:39:00,2016-03-02 13:01:00,2016-03-02 13:02:00,Category 32,Subcategory 9,3 - Moderate,Group 54,Closed,1,0,2016-03-02 13:01:00,50.36666666666667
INC0000176,2016-02-29 10:40:00,2016-03-02 15:07:00,2016-03-07 16:00:00,Category 53,Subcategory 127,3 - Moderate,Group 54,Closed,0,0,2016-03-02 15:07:00,52.45
INC0000178,2016-02-29 10:45:00,2016-02-29 11:55:00,2016-03-05 12:00:00,Category 20,Subcategory 103,3 - Moderate,Group 70,Closed,0,0,2016-02-29 11:55:00,1.1666666666666667
INC0000179,2016-02-29 10:46:00,2016-03-02 09:20:00,2016-03-07 10:00:00,Category 53,Subcategory 271,3 - Moderate,Group 28,Closed,0,0,2016-03-02 09:20:00,46.56666666666667
INC0000192,2016-02-29 10:58:00,2016-02-29 11:02:00,2016-03-05 12:00:00,Category 45,Subcategory 200,3 - Moderate,Group 70,Closed,0,0,2016-02-29 11:02:00,0.06666666666666667
INC0000193,2016-02-29 10:59:00,2016-03-01 16:03:00,2016-03-06 17:00:00,Category 37,Subcategory 135,3 - Moderate,Group 46,Closed,1,0,2016-03-01 16:03:00,29.066666666666666
INC0000194,2016-02-29 10:59:00,2016-02-29 11:11:00,2016-03-05 12:00:00,Category 42,Subcategory 224,3 - Moderate,Group 70,Closed,0,0,2016-02-29 11:11:00,0.2
INC0000195,2016-02-29 11:00:00,2016-03-02 15:15:00,2016-03-07 16:00:00,Category 53,Subcategory 127,3 - Moderate,Group 54,Closed,0,0,2016-03-02 15:15:00,52.25
INC0000197,2016-02-29 11:02:00,2016-03-31 11:13:00,2016-04-05 11:59:00,Category 45,Subcategory 200,3 - Moderate,Group 27,Closed,7,0,2016-03-31 11:13:00,744.1833333333333
INC0000199,2016-02-29 11:06:00,,2016-03-05 12:00:00,Category 42,Subcategory 106,4 - Low,Group 70,Closed,0,0,2016-03-05 12:00:00,120.9
INC0000204,2016-02-29 11:13:00,2016-02-29 16:43:00,2016-03-05 17:00:00,Category 53,Subcategory 168,4 - Low,Group 23,Closed,0,0,2016-02-29 16:43:00,5.5
INC0000207,2016-02-29 11:19:00,2016-02-29 20:15:00,2016-03-05 21:00:00,Category 9,Subcategory 164,3 - Moderate,Group 70,Closed,0,0,2016-02-29 20:15:00,8.933333333333334
INC0000211,2016-02-29 11:23:00,2016-03-03 06:46:00,2016-03-08 07:00:00,Category 23,Subcategory 3,3 - Moderate,Group 70,Closed,0,0,2016-03-03 06:46:00,67.38333333333334
INC0000213,2016-02-29 11:25:00,2016-02-29 12:53:00,2016-03-05 13:00:00,Category 53,Subcategory 271,3 - Moderate,Group 70,Closed,0,0,2016-02-29 12:53:00,1.4666666666666666
INC0000217,2016-02-29 11:48:00,2016-03-08 09:27:00,2016-03-24 18:40:00,Category 37,Subcategory 123,3 - Moderate,Group 29,Closed,2,0,2016-03-08 09:27:00,189.65
INC0000218,2016-02-29 11:53:00,2016-02-29 13:36:00,2016-03-05 14:00:00,Category 9,Subcategory 164,3 - Moderate,Group 23,Closed,1,0,2016-02-29 13:36:00,1.7166666666666666
INC0000220,2016-02-29 11:56:00,2016-03-09 17:24:00,2016-03-17 16:27:00,Category 53,Subcategory 271,3 - Moderate,Group 23,Closed,1,0,2016-03-09 17:24:00,221.46666666666667
INC0000221,2016-02-29 11:58:00,2016-03-02 14:06:00,2016-03-07 15:00:00,Category 61,Subcategory 16,3 - Moderate,Group 74,Closed,1,0,2016-03-02 14:06:00,50.13333333333333
INC0000223,2016-02-29 12:01:00,2016-03-03 08:57:00,2016-03-08 09:00:00,Category 53,Subcategory 271,3 - Moderate,Group 5,Closed,1,0,2016-03-03 08:57:00,68.93333333333334
INC0000228,2016-02-29 12:11:00,2016-02-29 16:08:00,2016-03-05 17:00:00,Category 26,Subcategory 175,3 - Moderate,Group 27,Closed,0,0,2016-02-29 16:08:00,3.95
INC0000230,2016-02-29 12:14:00,2016-03-07 15:12:00,2016-03-24 18:40:00,Category 55,Subcategory 270,3 - Moderate,Group 33,Closed,1,0,2016-03-07 15:12:00,170.96666666666667
INC0000232,2016-02-29 12:20:00,2016-03-12 21:23:00,2016-03-24 18:50:00,Category 45,Subcategory 200,4 - Low,Group 70,Closed,1,0,2016-03-12 21:23:00,297.05
INC0000236,2016-02-29 12:26:00,2016-02-29 13:16:00,2016-03-05 14:00:00,Category 45,Subcategory 223,3 - Moderate,Group 70,Closed,0,0,2016-02-29 13:16:00,0.8333333333333334
INC0000237,2016-02-29 12:27:00,2016-03-01 14:04:00,2016-03-06 15:00:00,Category 45,Subcategory 200,3 - Moderate,Group 70,Closed,0,0,2016-03-01 14:04:00,25.616666666666667
INC0000246,2016-02-29 12:41:00,2016-03-04 11:56:00,2016-03-09 12:00:00,Category 20,Subcategory 103,3 - Moderate,Group 27,Closed,1,0,2016-03-04 11:56:00,95.25
INC0000250,2016-02-29 12:43:00,2016-03-12 21:30:00,2016-03-24 18:50:00,Category 32,Subcategory 9,3 - Moderate,Group 70,Closed,4,0,2016-03-12 21:30:00,296.78333333333336
INC0000253,2016-02-29 12:43:00,2016-03-02 09:08:00,2016-03-07 10:00:00,Category 26,Subcategory 175,3 - Moderate,Group 28,Closed,1,0,2016-03-02 09:08:00,44.416666666666664
INC0000257,2016-02-29 12:48:00,2016-02-29 22:28:00,2016-03-05 23:00:00,Category 37,Subcategory 144,3 - Moderate,Group 12,Closed,0,0,2016-02-29 22:28:00,9.666666666666666
INC0000259,2016-02-29 12:50:00,2016-03-02 10:39:00,2016-03-07 11:00:00,Category 9,Subcategory 164,3 - Moderate,Group 27,Closed,1,0,2016-03-02 10:39:00,45.81666666666667
INC0000260,2016-02-29 12:52:00,2016-03-03 15:09:00,2016-03-08 16:00:00,Category 17,Subcategory 90,3 - Moderate,Group 69,Closed,0,0,2016-03-03 15:09:00,74.28333333333333
INC0000261,2016-02-29 12:54:00,2016-02-29 17:47:00,2016-02-29 17:47:00,Category 42,Subcategory 31,1 - Critical,Group 3,Closed,0,0,2016-02-29 17:47:00,4.883333333333334
INC0000262,2016-02-29 12:59:00,2016-03-02 09:21:00,2016-03-07 10:00:00,Category 53,Subcategory 271,3 - Moderate,Group 28,Closed,1,0,2016-03-02 09:21:00,44.36666666666667
INC0000265,2016-02-29 13:14:00,2016-03-02 15:29:00,2016-03-07 16:00:00,Category 20,Subcategory 103,3 - Moderate,Group 69,Closed,4,0,2016-03-02 15:29:00,50.25
INC0000266,2016-02-29 13:18:00,2016-03-04 16:24:00,2016-03-09 17:00:00,Category 53,Subcategory 271,3 - Moderate,Group 28,Closed,1,0,2016-03-04 16:24:00,99.1
INC0000268,2016-02-29 13:24:00,2016-03-09 08:46:00,2016-03-24 18:40:00,Category 9,Subcategory 164,3 - Moderate,Group 27,Closed,1,0,2016-03-09 08:46:00,211.36666666666667
INC0000269,2016-02-29 13:30:00,,2016-03-05 14:00:00,Category 26,Subcategory 175,3 - Moderate,Group 70,Closed,0,0,2016-03-05 14:00:00,120.5
INC0000272,2016-02-29 13:36:00,2016-03-08 15:35:00,2016-03-24 18:40:00,Category 42,Subcategory 31,4 - Low,Group 39,Closed,4,0,2016-03-08 15:35:00,193.98333333333332
INC0000273,2016-02-29 13:36:00,2016-03-04 14:38:00,2016-03-09 15:00:00,Category 53,Subcategory 168,3 - Moderate,Group 23,Closed,1,0,2016-03-04 14:38:00,97.03333333333333
INC0000278,2016-02-29 13:48:00,2016-02-29 14:46:00,2016-03-05 15:00:00,Category 45,Subcategory 29,3 - Moderate,Group 55,Closed,0,0,2016-02-29 14:46:00,0.9666666666666667
INC0000279,2016-02-29 13:50:00,2016-03-02 01:03:00,2016-03-07 02:00:00,Category 20,Subcategory 103,3 - Moderate,Group 70,Closed,0,0,2016-03-02 01:03:00,35.21666666666667
INC0000280,2016-02-29 13:50:00,2016-03-07 19:57:00,2016-03-24 18:40:00,Category 20,Subcategory 125,3 - Moderate,Group 70,Closed,5,0,2016-03-07 19:57:00,174.11666666666667
INC0000282,2016-02-29 13:52:00,2016-03-03 12:34:00,2016-03-08 13:00:00,Category 53,Subcategory 271,3 - Moderate,Group 70,Closed,0,0,2016-03-03 12:34:00,70.7
INC0000283,2016-02-29 13:54:00,2016-03-01 09:26:00,2016-03-06 10:00:00,Category 42,Subcategory 31,3 - Moderate,Group 39,Closed,1,0,2016-03-01 09:26:00,19.533333333333335
INC0000284,2016-02-29 13:55:00,2016-03-02 11:57:00,2016-03-07 12:00:00,Category 53,Subcategory 13,3 - Moderate,Group 28,Closed,0,0,2016-03-02 11:57:00,46.03333333333333
INC0000285,2016-02-29 13:56:00,2016-03-02 00:55:00,2016-03-07 01:00:00,Category 45,Subcategory 223,3 - Moderate,Group 70,Closed,0,0,2016-03-02 00:55:00,34.983333333333334
INC0000286,2016-02-29 13:56:00,2016-03-03 16:07:00,2016-03-08 17:00:00,Category 53,Subcategory 168,3 - Moderate,Group 28,Closed,1,0,2016-03-03 16:07:00,74.18333333333334
INC0000290,2016-02-29 13:59:00,,2016-03-05 15:00:00,Category 45,Subcategory 223,3 - Moderate,Group 70,Closed,0,0,2016-03-05 15:00:00,121.01666666666667
INC0000292,2016-02-29 14:04:00,2016-03-02 09:57:00,2016-03-07 10:00:00,Category 20,Subcategory 125,4 - Low,Group 28,Closed,3,0,2016-03-02 09:57:00,43.88333333333333
INC0000294,2016-02-29 14:06:00,2016-03-14 08:25:00,2016-03-24 18:50:00,Category 20,Subcategory 125,3 - Moderate,Group 25,Closed,1,1,2016-03-14 08:25:00,330.31666666666666
INC0000295,2016-02-29 14:09:00,2016-03-04 09:33:00,2016-03-09 10:00:00,Category 13,Subcategory 302,3 - Moderate,Group 23,Closed,0,0,2016-03-04 09:33:00,91.4
INC0000297,2016-02-29 14:15:00,2016-03-04 09:34:00,2016-03-09 10:00:00,Category 13,Subcategory 302,3 - Moderate,Group 23,Closed,0,0,2016-03-04 09:34:00,91.31666666666666
INC0000298,2016-02-29 14:16:00,2016-11-25 08:07:00,2016-11-30 08:10:00,Category 53,Subcategory 113,4 - Low,Group 66,Closed,0,0,2016-11-25 08:07:00,6473.85
INC0000301,2016-02-29 14:22:00,2016-03-01 11:35:00,2016-03-06 12:00:00,Category 45,Subcategory 29,3 - Moderate,Group 55,Closed,1,0,2016-03-01 11:35:00,21.216666666666665
INC0000302,2016-02-29 14:23:00,2016-03-22 12:57:00,2016-03-27 12:59:00,Category 35,Subcategory 28,3 - Moderate,Group 29,Closed,2,0,2016-03-22 12:57:00,526.5666666666667
INC0000303,2016-02-29 14:23:00,2016-03-10 17:47:00,2016-03-24 18:50:00,Category 53,Subcategory 109,4 - Low,Group 33,Closed,0,0,2016-03-10 17:47:00,243.4
INC0000304,2016-02-29 14:25:00,2016-03-03 15:09:00,2016-03-08 16:00:00,Category 53,Subcategory 168,3 - Moderate,Group 23,Closed,0,0,2016-03-03 15:09:00,72.73333333333333
INC0000305,2016-02-29 14:28:00,2016-03-04 14:41:00,2016-03-09 15:00:00,Category 53,Subcategory 168,3 - Moderate,Group 28,Closed,1,0,2016-03-04 14:41:00,96.21666666666667
INC0000306,2016-02-29 14:28:00,2016-03-02 16:48:00,2016-03-07 17:00:00,Category 23,Subcategory 3,3 - Moderate,Group 54,Closed,0,0,2016-03-02 16:48:00,50.333333333333336
INC0000307,2016-02-29 14:30:00,2016-12-19 14:55:00,2016-12-24 15:00:00,Category 45,Subcategory 220,4 - Low,Group 66,Closed,0,0,2016-12-19 14:55:00,7056.416666666667
INC0000310,2016-02-29 14:33:00,2016-03-01 13:47:00,2016-03-06 14:00:00,Category 45,Subcategory 220,4 - Low,Group 66,Closed,0,0,2016-03-01 13:47:00,23.233333333333334
